title,organizer_1,organizer_2,organizer_3,organizer_4,organizer_5,organizer_6,organizer_7,posted,desc,id,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6,keyword_7,keyword_8,theme_1,theme_2,theme_3
An Exquisite Corpse: Experiments in Practicing Better Relations as Scholars During Uncertain Times,"Jade Vu Henry, Goldsmiths, University of London","Lisa Lehner, Cornell University","Nadine Tanio, University of California, Irvine",NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				The Exquisite Corpse (Le Cadavre exquis, https://www.artsy.net/article/artsy-editorial-explaining-exquisite-corpse-surrealist-drawing-game-die) is a collaborative game of imperfect assemblage: each participant adds to a composition in sequence, not knowing or knowing little of what was added beforehand. In this panel, we deploy the “exquisite corpse” as a method and provocation for survival, collaboration, and playful relations during these uncertain times, investing not in fixed outcomes but emergent relationships and knowledges.
We invite anyone interested in an imaginative and experimental exercise, and in forging a liminal space of collaboration and solidarity, to join us in collectively creating an exquisite corpse. Individual submissions should not be traditional conference presentations but stories, poems, visualizations, or  other narrative forms that center around research spaces unsettled by disturbances, quakes, fires, waters, or human catastrophe; timelines, career trajectories, research plans, budgets or any project plan disrupted in the face of trauma and uncertainty; relationships and bodies broken, brittle, and precarious. The only condition is that you leave your contribution open to articulation, re-pair, and imaginative attachments that can ferment unsuspected forms of sense-making, relationship-building, knowledge-production, and negotiation. Collectively, we will then assemble and draw connections that create multiple possibilities and outcomes for a more careful academic practice. Through the configuration of this exquisite corpse, we will explore the folds, redirections, and emergent properties that can generate good relations within the university and beyond.
We welcome fellow scholars from all disciplines, fields, and places of research to help us create and imagine re-paired relations within and outside of the university. ",11,feminist epistemology, play, collaboration, higher education, disability,NA,NA,NA,Feminist STS / Queer STS,Method and Practice,Social Justice/Social Movement
"Art, Science, and Technology Studies","Hannah Rogers, Science, Technology and Innovation Studies, The University of Edinburgh","Megan Halpern, Michigan State University",NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				This open panel stream proposes up to three panels exploring themes in the Routledge Handbook of Art, Science, and Technology Studies and welcoming scholars, artists, curators, and others to contribute to the conversation. The first panel will investigate Boundaries and Borders in Art and Science; the second will explore Multidisciplinary
Histories in this multifaceted field which has many claims on the subject of history, and the third will consider Infrastructure and Institutions of Art and Science. Attendant questions relevant across
the panels include: what does it mean to bring art and science
together and what is produced? What can STS scholars learn from
observing art and science in relationship to one another? How are
curation and facilitation working in tension and in tandem with the
observation and participation of STS scholars in these areas?
STS researchers and practitioners who have worked with art to discuss the relationship between art and science and the relationship between this type of work and STS itself are sought as panelists. We welcome submissions that delve into the ways that the categories of art and science are constructed and how the boundaries and borders between
these two areas are maintained and breached through histories, institutions, and disciplinary norms and breaches. Panel subjects might include the formation of scientific and artistic communities inside of and outside of universities and disciplinary funding streams, collaborative work in art and science for policy influence, artists
and analysts reflecting on their work together, and STS scholars considering what their fields can learn from the arts. ",12,Art, Science, and Technology Studies, the social construction of knowledge categories,NA,NA,NA,NA,Method and Practice,Science Communication/Public Engagement,Other
"Artificial Intelligence in global perspective: inequalities, changing relations, governance","Achim Rosemann, De Montfort University, UK",NA,NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				This panel aims to generate comparative insights into the ways in which AI technologies are debated, developed, applied and governed around the world. Developments in AI, machine learning, and big data are transforming societies, the relationships of humans to each other, and interactions with the environment. Simultaneously, the deployment of AI, AI-based robots and smart information systems takes place in a context of global inequalities and competition, as well as well differences in cultural values, political systems and scientific capacities. 
In this panel we welcome contributions that explore aspects of the following questions:
(i) What role do global inequalities and differences play in terms of how AI systems are developed, used and discussed in different global contexts?
(ii) Which region-specific and shared global challenges emerge with regard to the governance of AI, AI-based robots and smart information systems?
(iii) What are the effects of AI technologies on issues related to equality, diversity, justice  and inclusion/exclusion around the world?
(iv) What are the implications of the global adoption and use of AI systems for STS, and the ways in which relations between humans, data, intelligent machines and the (social and natural) environment are conceptualised and governed?
The panel invites conceptual, theoretical and empirical contributions from across the world, with a particular interest in perspectives from Africa, Asia, the Middle East, Central and South America as we well Oceania. Contributions that explore transnational developments or the effects of the international transfer of AI technologies from Europe and Northern America are also welcome. ",13,AI, global inequalities, social and political differences, implications for STS,NA,NA,NA,NA,"Big Data, AI and Machine Learning",Governance and Public Policy,Transnational STS
Aspiring Societal Impact. The Epistemological Politics of Interventionist Research in STS,"Jitse Schuurmans, Erasmus University Rotterdam","Iris Wallenburg, institute for Health Policy and Management","Dara Ivanova, Erasmus School of Health Policy and Management","Roland Bal, Erasmus University Rotterdam",NA,NA,NA,"Posted: January 27, 2021
","
				
				
				In recent decades there has been an enduring call for STS research to offer practical value for those we study (Downey and Zuiderent-Jerak, 2017). This focus on societal impact raises questions about the value of knowledge production. Yet, it also produces new affordances to empower marginalized subjects and do good for society at large.   
STS has a rich history in interventionist research, building on calls to ‘move beyond criticism’ and actively influence the worlds we research for the better (Timmermans and Berg, 2003). Under the umbrella of ‘applied research’, distinct epistemological regimes and ‘sorting attachments’ (Jensen, 2007) of research reveal an increasing pressure to demonstrate immediate value. Such calls for practical value of social science have developed within a larger neoliberal trend, in which the university is increasingly reliant on external revenue and as a research and educational institute is governed by a logic of accountability and measurable outputs. The implications of this move towards practical relevance for scientific practice and its produced epistemologies have been well-documented for the natural and life sciences. However, far less attention has been given to the epistemological implications of interventionalist research for the social sciences. 
In this panel we encourage scholars to explore and theorize the increasing demand for applied approaches in social science research and how it impacts STS aims of interventionist research and knowledge production. We ask: what are the consequences of interventionist research for the epistemologies produced by STS scholars and what ‘modes of doing good’ does it produce?
Biography
Bal, R. and Mastboom, F., 2007. Engaging with technologies in practice: Travelling the northwest passage. Science as Culture, 16(3), pp.253-266.
Bruun Jensen, C., 2007. Sorting attachments: Usefulness of STS in healthcare practice and policy. Science as Culture, 16(3), pp.237-251.
Downey, G. L., and Zuiderent-Jerak, T., 2017. Making and doing: Engagement and reflexive learning in STS. In Felt, U., Fouché, R., Miller, C.A. and Smith-Doerr, L. (Eds), (2007) Handbook of Science and Technology Studies 4th edition, pp.223-250.
Hackett, E. J., 2014. Academic capitalism. Science, Technology, & Human Value, 39(5), pp.635-638.
Hoffman, S. G., 2017. Managing ambiguities at the edge of knowledge: Research strategy and artificial intelligence labs in an era of academic capitalism. Science, Technology, & Human Values, 42(4), pp.703-740.
Penkler, M., Felder, K. and Felt, U., 2020. Challenging Diversity: Steering Effects of Buzzwords in Projectified Health Care. Science, Technology, & Human Values, 45(1), pp.138-163.
Timmermans, S. and Berg, M., 2003. The practice of medical technology, Sociology of Health and Illness, 25, pp. 97–114.
Zuiderent-Jerak, T. and Bruun Jensen, C., 2007. Editorial introduction: Unpacking ‘intervention’ in science and technology studies. Science as Culture, 16(3), pp.227-235. ",14,interventionist research, epistemologies, social science, reflexivity,NA,NA,NA,NA,Method and Practice,Other,NA
Autonomous systems and their attachments,"Jack Stilgoe, University College London",NA,NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				The dominant governance discussions imagined around autonomous systems and artificial intelligence are seen as flowing from autonomy: What happens when AI takes over our jobs? How should a self-driving car decide who to kill in the event of a crash? What are the existential risks of superintelligence? Tech billionaires like discussing these things precisely because they sidestep the real politics of AI.
STS suggests a very different set of questions that switch attention to the attachments of innovation rather than its autonomy: Given that AI will not be as independent as its proponents suggest, under what conditions could it benefit particular groups? How might the world need to change to accommodate robots? Who will pay for the infrastructure that supports AI? What is the role for public resistance and reconfiguring? ",15,AI, self-driving cars, democracy, infrastructure,NA,NA,NA,NA,"Big Data, AI and Machine Learning",Governance and Public Policy,Infrastructure
Becoming with Water: Ethnographic and Methodological Reconfigurations,"Dana Burton, George Washington University","Shweta Krishnan, George Washington University",NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				There’s something in the water. Mosquitos swimming in still puddles, oil floating in the ocean, ice rock shoring in lunar poles. Carbon sinking into hydrogen and oxygen. A tea bag diffusing into a boiling kettle.
Water is not just water, a distinct category with fixed boundaries. In these examples/moments water is encountering something, becoming caught up in a process of perturbing, transforming, evoking. This panel asks you to attend to this becoming with. We encourage papers that step away from modes of analysis which stabilize water as well as the expectant definitions and categories of water. Rather, lean into water’s mutability. What emerges when we bring water’s capacity to affect and become affected into focus in our ethnographies? What methodologies stem from observing, recording, articulating the process of water co-evolving with the human, nonhuman, nonlife entities it encounters? How can the micro-moments in which water becomes an altering, entangling, disrupting entity shape analytical currents in our fields? We invite papers that take a speculative or experimental approach to water by focusing on moments when it is saturated with potential to commingle, or already participating in transmutations and reconfigurations. 
Water is an entity, a force, and an environmental context that catalyzes and sustains multi-scalar relations across and beyond earth. As colonial, capitalist, and climatic processes bring human relations with water into focus, this panel probes water as a site for enriching analytical, metaphorical, and methodological approaches to the ethical, the ecological, the technoscientific, and the political in a shifting world.
Citations:
– Ballestero, Andrea. 2019. A Future History of Water. Durham: Duke University Press
– Biehl, João and Peter Locke. 2017. Unfinished: The Anthropology of Becoming. Durham: Duke University Press.
– de la Cadena, Marisol and Mario Blaser, eds. A World of Many Worlds. Durham: Duke University Press.
– Deleuze, Gilles and Guattari, Felix. 1983. Anti-Oedipus: Capitalism and Schizophrenia. Minneapolis: University of Minnesota Press
– Gan, Elaine, Anna Tsing, Heather Swanson, and Nils Bubandt, ed. 2017. Arts of Living on a Damaged Planet: Ghosts of the Anthropocene. Minneapolis: University of Minnesota Press
– Geoffrey C. Bowker and Susan Leigh Star. 1999. Sorting Things Out: Classification and Its Consequences. Cambridge: MIT Press.
– Haraway, Donna. 2008. When Species Meet. Minneapolis: University of Minnesota Press.
– Helmreich, Stefan. 2009. Alien Ocean: Anthropological Voyages in Microbial Seas. Berkeley: University of California Press.
– Khan, Naveeda. 2016. “River and the Corruption of Memory.” Contributions to Indian Sociology 49(3):389–409.
– Lethabo King, Tiffany. The Black Shoals: Offshore Formations of Black and Native Studies. Durham: Duke University Press.
– Povinelli, Elizabeth. 2016. Geontologies: A Requiem to Late Liberalism. Durham: Duke University Press.
– Raffles, Hugh. 2002. In Amazonia: A Natural History. Princeton: Princeton University Press.
– Tsing, Anna. 2005. Friction: An Anthropology of Global Connections. Princeton: Princeton University Press.
– Tsing, Anna. 2015.  The Mushroom at the End of the World. Princeton: Princeton University Press.
– “Water” Cultural Anthropology Collection. 1999-2009. Accessed from Water | Cultural Anthropology (culanth.org)
– Weston, Kate. 2017. Animate Planet: Making Visceral Sense of Living in a High-Tech Ecologically Damaged World. Durham: Duke University Press. ",16,Multispecies, becoming, water, environment, method,NA,NA,NA,Environmental/Multispecies Studies,Feminist STS / Queer STS,Method and Practice
"Being a Lab, Studying a Lab: Practicing Good Relations in Building Qualitative Research Infrastructures","Rebecca Howes-Mischel, James Madison University, Department of Sociology and Anthropology","Megan Tracy, James Madison University",NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				Critical STS scholars have exposed “lab life” as a key arena of agentive relations and as sites of more than technical assemblages (Clark and Fujimura 1992, Traweek 1998). Social scientists have also found the form of “a lab” generative for organizing collaborations and essential to gaining institutional recognition and funding. We seek to move beyond the important work of first generation lab studies that demonstrated the political nature of (bench and social) science to place the studying of labs alongside the establishment of qualitative STS labs– ones that draw on traditional laboratory models yet incorporate alternative frameworks of inclusion and non-extractive epistemologies. Our focus is this dual nature of labs as systems of relations. 
Extending Roy’s (2018) incitement for feminist laboratory methods into the work of qualitative labs, we ask two central questions: what makes a qualitative lab a lab, and what are its methods of good relations? Following Liboiron et al. (2017), how do labs relate to, or materialize in, particular methodologies, ethnographic productions and collaborations?
Submissions might address the above through consideration of:
*Alternatives to Latourian-style laboratory studies
*Ethics and praxis of collaborative networks among and between labs, the public and private sectors
*Methodological strategies for analyzing lab collaborations and participating in them
*The role of labs as workplaces and as places of often precarious employment
*Models for building labs, their intersection with other kinds of institutional relations, and especially for those outside R1 institutions,
*The heightened stakes of these conditions in and beyond the COVID-19 pandemic ",17,laboratory models, feminist STS, collaborative relations, ethics,NA,NA,NA,NA,Feminist STS / Queer STS,Method and Practice,NA
"Better Relations With/In Site and Space: Queer, Indigenous, and Black Feminist Interventions As Scientific Practice","Melina Packer, University of California, Riverside","Cleo Woelfle-Erskine, UW Seattle","Ashton Wesner, UC Berkeley",NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				Critical feminist STS has constructively challenged the cisheteronormativity and white supremacy embedded in an array of sciences, from animal behavior to toxicology to urban ecology (Visperas, Brown, and Sexton 2016; Cipolla, Gupta, and Rubin 2017; Hoover 2017). This panel builds from these critiques to highlight emerging shifts—despite ongoing obstacles—within contemporary scientific methods and practices, focusing on field sites and laboratory spaces. We recognize that even those practitioners committed to queering and decolonizing scientific knowledge production face entrenched systems of hierarchy and linearity. And yet, we also sense fantastic(al) potential. For instance, what pathways to environmental justice do queer, Black feminist, and Indigenous studies perspectives enable us to see, feel, and traverse? Or, focusing on the embodied experience of doing work in the field/lab in a specific body, what dangers and risks does this work entail? What would making space for BIPOC, queer, and trans scientists to do this work make possible, in terms of scientific outcomes, community engagement, and environmental justice action? We are especially interested in how queer and trans perspectives on cisheteronormativity might intersect with Indigenous studies, Black feminist, and political ecology analyses of private property and public lands. For example, how can field science work within tribal protocols to disrupt settler science’s longstanding practice of contributing to dispossession (through creation of conservation areas and parks, advancement of forestry and agriculture, river damming, etc.)? What critical modes of attention does Black feminist biopolitics bring to the study of toxins and/or ecological “purity,” across both urban and rural landscapes? ",18,field sites, laboratory lives, political ecology, environmental justice, unsettling science,NA,NA,NA,"Critical Race Studies, Black Studies, and STS",Decolonial STS,Feminist STS / Queer STS
Beyond Food: Perspectives on Practice and Relation in Agricultural Production,"Alex Rewegan, MIT","Gabrielle Robbins, MIT HASTS",NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				Social scientific scholarship on agriculture often focuses on food systems, but this panel addresses dimensions of agricultural production and practice beyond food itself. As pig bodies yield both pork and pharmaceutical materials, corn both animal feed and ethanol, and cannabis both medicine and building materials, how does the practice, governance, and commercialization of agriculture beyond food generate opportunities or challenges for emancipatory change and good relations? Well-studied food system concerns like soil and environmental degradation, violent labor practices, and the plantation logics of industrialism, might be augmented by studies that approach agriculture from non-food perspectives; submissions could address the complexities of agricultural production of medicines/pharmaceuticals, textiles, lumber, or other goods. How and in what ways do these forms of agricultural production generate specific relations with environments, social worlds, scales, industries, or practices of extraction? How can critical or ethnographic studies of agriculture shed light on linked or dependent industries such as pharma or construction? How is racial capitalism working in agriculture beyond and adjacent to food? What are the political potentials or projects surfacing in these forms of agricultural production (for example, climate and and environmental justice), and with what stakes, tactics, demands, or effects?
We invite papers that address a broad range of topics and places. They might present ethnographic work, notes from the field, or historical examinations of specific crops, farms, or industries. We anticipate convening a standard 5- or 6-person panel to meet digitally, though could expand depending on submission numbers. ",19,agriculture, farming, commodities, industry, health/medicine,NA,NA,NA,"Economics, Markets, Value/Valuation",Environmental/Multispecies Studies,Food and Agriculture
Beyond Solutionism for a Responsible Artificial Intelligence,"Katherine Fletcher, OpenStax at Rice University","Alexa Hagerty, University of Cambridge","Frederique Krupa, DIGITAL Design Lab, l'école de design Nantes Atlantique","Sarah Luger, Orange Silicon Valley",NA,NA,NA,"Posted: January 27, 2021
","
				
				
				We propose a post-solutionist reflection on what is Responsible AI, to discuss interdisciplinary perspectives that contribute to making AI systems more fair, transparent, and inclusive. Solutionism is “recasting all complex social situations either as neat problems with definite, computable solutions or as transparent and self-evident processes that can be easily optimized if only the right algorithms are in place!” (Morozov 2013)
Ethical problems in AI/ML have been exposed through numerous and influential publications (Buolamwini & Gebru 2018, Challen & al 2019, Parikh & al 2019, Yapo & Weiss 2018). How can we move from a view of ethics and responsibility narrowly focused on technical definitions of bias, discrimination, and fairness in AI systems to one which considers interconnecting issues of cognitive bias, social inequality, white supremacy, intersectionality, geopolitical and economic divides?
A robust consideration of ethics and responsibility requires that we interrogate how technologies are interwoven with our social structures, histories, and moral imaginations (Noble 2018; Benjamin 2019). We must go beyond tech solutionism to frame problems without automatically assuming AI/ML is the best or inevitable course of action, to fully explore fine-grain signals and our complete range of options, which can include “do nothing.”
Topics to be addressed include power and ubiquity of automated systems in daily life, over-trust in technical solutions, and whether our current production methodologies and research approaches support or hinder just and equitable AI systems. ",20,Solutionism, AI Ethics, Responsible AI, Data Justice, Decolonial AI,NA,NA,NA,"Big Data, AI and Machine Learning",Data and quantification,"Information, Computing and Media Technology"
